jackknife_unit,removed_id,winner_changed,maximum_absolute_rank_change
SUBJECT,abstract_algebra,False,1.0
SUBJECT,anatomy,False,1.0
SUBJECT,astronomy,False,1.0
SUBJECT,business_ethics,False,1.0
SUBJECT,clinical_knowledge,False,0.0
SUBJECT,college_biology,False,1.0
SUBJECT,college_chemistry,False,1.0
SUBJECT,college_computer_science,False,0.0
SUBJECT,college_mathematics,False,0.5
SUBJECT,college_medicine,False,0.0
SUBJECT,college_physics,False,0.0
SUBJECT,computer_security,False,1.0
SUBJECT,conceptual_physics,False,1.0
SUBJECT,econometrics,False,1.0
SUBJECT,electrical_engineering,False,2.0
SUBJECT,elementary_mathematics,False,3.0
SUBJECT,formal_logic,False,1.0
SUBJECT,global_facts,False,0.5
SUBJECT,high_school_biology,False,0.0
SUBJECT,high_school_chemistry,False,1.0
SUBJECT,high_school_computer_science,False,1.0
SUBJECT,high_school_european_history,False,1.0
SUBJECT,high_school_geography,False,0.5
SUBJECT,high_school_government_and_politics,False,0.0
SUBJECT,high_school_macroeconomics,False,1.0
SUBJECT,high_school_mathematics,False,1.0
SUBJECT,high_school_microeconomics,False,1.0
SUBJECT,high_school_physics,False,1.0
SUBJECT,high_school_psychology,False,0.0
SUBJECT,high_school_statistics,False,0.0
SUBJECT,high_school_us_history,False,0.0
SUBJECT,high_school_world_history,False,1.0
SUBJECT,human_aging,False,1.0
SUBJECT,human_sexuality,False,1.0
SUBJECT,international_law,False,1.0
SUBJECT,jurisprudence,False,1.0
SUBJECT,logical_fallacies,False,1.0
SUBJECT,machine_learning,False,0.0
SUBJECT,management,False,0.0
SUBJECT,marketing,False,1.0
SUBJECT,medical_genetics,False,1.0
SUBJECT,miscellaneous,False,3.0
SUBJECT,moral_disputes,False,1.0
SUBJECT,moral_scenarios,False,3.0
SUBJECT,nutrition,False,1.0
SUBJECT,philosophy,False,1.0
SUBJECT,prehistory,False,1.0
SUBJECT,professional_accounting,False,1.0
SUBJECT,professional_law,False,2.0
SUBJECT,professional_medicine,False,1.0
SUBJECT,professional_psychology,False,1.0
SUBJECT,public_relations,False,0.5
SUBJECT,security_studies,False,1.0
SUBJECT,sociology,False,1.0
SUBJECT,us_foreign_policy,False,0.0
SUBJECT,virology,False,1.0
SUBJECT,world_religions,False,1.0
MODEL,01-ai/yi-34b,False,1.0
MODEL,01-ai/yi-6b,False,1.0
MODEL,01-ai/yi-large-preview,False,1.0
MODEL,allenai/olmo-1.7-7b,False,1.0
MODEL,allenai/olmo-7b,False,0.0
MODEL,databricks/dbrx-instruct,False,1.0
MODEL,deepseek-ai/deepseek-llm-67b-chat,False,1.0
MODEL,deepseek-ai/deepseek-v3,True,1.0
MODEL,google/gemma-2-27b,False,1.0
MODEL,google/gemma-2-9b,False,1.0
MODEL,google/gemma-7b,False,1.0
MODEL,meta/llama-2-13b,False,1.0
MODEL,meta/llama-2-70b,False,1.0
MODEL,meta/llama-2-7b,False,1.0
MODEL,meta/llama-3-70b,False,1.0
MODEL,meta/llama-3-8b,False,1.0
MODEL,meta/llama-3.1-405b-instruct-turbo,False,1.0
MODEL,meta/llama-3.1-70b-instruct-turbo,False,1.0
MODEL,meta/llama-3.1-8b-instruct-turbo,False,1.0
MODEL,meta/llama-3.2-11b-vision-instruct-turbo,False,1.0
MODEL,meta/llama-3.2-90b-vision-instruct-turbo,False,1.0
MODEL,meta/llama-3.3-70b-instruct-turbo,False,1.0
MODEL,microsoft/phi-2,False,1.0
MODEL,microsoft/phi-3-medium-4k-instruct,False,1.0
MODEL,microsoft/phi-3-small-8k-instruct,False,1.0
MODEL,mistralai/mistral-7b-instruct-v0.3,False,1.0
MODEL,mistralai/mistral-7b-v0.1,False,1.0
MODEL,mistralai/mixtral-8x22b,False,1.0
MODEL,mistralai/mixtral-8x7b-32kseqlen,False,1.0
MODEL,mistralai/open-mistral-nemo-2407,False,1.0
MODEL,qwen/qwen1.5-110b-chat,False,1.0
MODEL,qwen/qwen1.5-14b,False,1.0
MODEL,qwen/qwen1.5-32b,False,1.0
MODEL,qwen/qwen1.5-72b,False,1.0
MODEL,qwen/qwen1.5-7b,False,1.0
MODEL,qwen/qwen2-72b-instruct,False,1.0
MODEL,qwen/qwen2.5-72b-instruct-turbo,False,1.0
MODEL,qwen/qwen2.5-7b-instruct-turbo,False,1.0
MODEL,snowflake/snowflake-arctic-instruct,False,1.0
MODEL_FAMILY,arctic,False,1.0
MODEL_FAMILY,dbrx,False,1.0
MODEL_FAMILY,deepseek,True,2.0
MODEL_FAMILY,gemma,False,3.0
MODEL_FAMILY,llama,False,11.0
MODEL_FAMILY,mistral,False,5.0
MODEL_FAMILY,olmo,False,1.0
MODEL_FAMILY,phi,False,3.0
MODEL_FAMILY,qwen,False,8.0
MODEL_FAMILY,yi,False,3.0
