split,policy_id,claim_family,effect_size,effective_n,family_correlation,multiplicity,benchmark_count,false_license_rate,false_license_upper_95,true_license_power,abstention_rate,false_block_rate,decision_regret,coverage,license_precision,license_recall,licensed_count,true_supported_count,null_count,observation_count
POLICY_CONFIRMATION,HIGH_COVERAGE,ITEM_DIAGNOSTICS,0.0,24,0.3,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_CONFIRMATION,HIGH_COVERAGE,ITEM_DIAGNOSTICS,0.0,24,0.3,1,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1
POLICY_CONFIRMATION,HIGH_COVERAGE,ITEM_DIAGNOSTICS,0.0,24,0.3,12,3,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,0,24,24
POLICY_CONFIRMATION,HIGH_COVERAGE,ITEM_DIAGNOSTICS,0.0,24,0.3,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.7416666666666667,0.0,0.0,0,0,120,120
POLICY_CONFIRMATION,HIGH_COVERAGE,ITEM_DIAGNOSTICS,0.0,24,0.72,1,1,1.0,1.0,0.0,0.0,1.0,0.03448578860054013,0.0,0.0,0.0,1,0,1,1
POLICY_CONFIRMATION,HIGH_COVERAGE,ITEM_DIAGNOSTICS,0.0,24,0.72,1,3,0.3333333333333333,0.8667777662061142,0.0,0.6666666666666667,1.0,0.0758738106672203,0.6666666666666666,0.0,0.0,1,0,3,3
POLICY_CONFIRMATION,HIGH_COVERAGE,ITEM_DIAGNOSTICS,0.0,24,0.72,12,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,12,12
POLICY_CONFIRMATION,HIGH_COVERAGE,ITEM_DIAGNOSTICS,0.0,24,0.72,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0,0,12,12
POLICY_CONFIRMATION,HIGH_COVERAGE,ITEM_DIAGNOSTICS,0.0,24,0.72,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.675,0.0,0.0,0,0,40,40
POLICY_CONFIRMATION,HIGH_COVERAGE,ITEM_DIAGNOSTICS,0.0,72,0.3,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,3,3
