split,policy_id,false_license_rate,false_license_upper_95,true_license_power,abstention_rate,false_block_rate,decision_regret,coverage,license_precision,license_recall,licensed_count,true_supported_count,null_count,observation_count
POLICY_DEVELOPMENT,BALANCED,0.0038979447200566974,0.005225298513262717,0.15068171133051245,0.9470125786163522,0.8493182886694876,0.01628002843318783,0.9092767295597485,0.9510385756676558,0.15068171133051245,674,4254,8466,12720
POLICY_DEVELOPMENT,BALANCED_95CI,0.0037798251830852823,0.00508699033886933,0.14127879642689234,0.9502358490566037,0.8587212035731077,0.016801069671012234,0.9558962264150943,0.9494470774091627,0.14127879642689234,633,4254,8466,12720
POLICY_DEVELOPMENT,BALANCED_FAMILY5,0.003543586109142452,0.00480939338608884,0.11965209214856605,0.957625786163522,0.8803479078514339,0.017653112914141532,0.9092767295597485,0.9443413729128015,0.11965209214856605,539,4254,8466,12720
POLICY_DEVELOPMENT,BALANCED_LOW_N,0.004370422867942357,0.00577558864543618,0.16572637517630465,0.9416666666666667,0.8342736248236954,0.017731195439862176,0.9092767295597485,0.9501347708894878,0.16572637517630465,742,4254,8466,12720
POLICY_DEVELOPMENT,BALANCED_STRICT_FDR,0.003425466572171037,0.004670072022941442,0.13610719322990128,0.9522012578616352,0.8638928067700987,0.015401094905776897,0.9092767295597485,0.9523026315789473,0.13610719322990128,608,4254,8466,12720
POLICY_DEVELOPMENT,BALANCED_STRICT_REGRET,0.0038979447200566974,0.005225298513262717,0.15068171133051245,0.9470125786163522,0.8493182886694876,0.01628002843318783,0.9092767295597485,0.9510385756676558,0.15068171133051245,674,4254,8466,12720
POLICY_DEVELOPMENT,HIGH_COVERAGE,0.007559650366170565,0.009404750756560663,0.2931358721203573,0.8969339622641509,0.7068641278796427,0.016385866912226203,0.8186320754716981,0.9511823035850496,0.2931358721203573,1311,4254,8466,12720
POLICY_DEVELOPMENT,HIGH_PRECISION,0.0,0.0,0.041372825575928536,0.9861635220125786,0.9586271744240714,0.0085975407979806,0.9558962264150943,1.0,0.041372825575928536,176,4254,8466,12720
POLICY_VALIDATION,BALANCED,0.0010630758327427356,0.0017572494360931024,0.2150916784203103,0.9273584905660377,0.7849083215796897,0.009502976999428654,0.904245283018868,0.9902597402597403,0.2150916784203103,924,4254,8466,12720
POLICY_VALIDATION,BALANCED_95CI,0.0007087172218284905,0.0012756081170166825,0.2066290550070522,0.9304245283018868,0.7933709449929478,0.00950110631399948,0.9515723270440252,0.9932203389830508,0.2066290550070522,885,4254,8466,12720
POLICY_VALIDATION,BALANCED_FAMILY5,0.0008268367587999055,0.0014391127184029593,0.15091678420310295,0.9489779874213836,0.849083215796897,0.009616558958331689,0.904245283018868,0.9892141756548536,0.15091678420310295,649,4254,8466,12720
POLICY_VALIDATION,BALANCED_LOW_N,0.001417434443656981,0.0022188548931140356,0.2451810061118947,0.917059748427673,0.7548189938881054,0.011674200130741006,0.904245283018868,0.9886255924170616,0.2451810061118947,1055,4254,8466,12720
POLICY_VALIDATION,BALANCED_STRICT_FDR,0.0005905976848570753,0.0011081264871858436,0.2066290550070522,0.930503144654088,0.7933709449929478,0.009381195368806265,0.904245283018868,0.994343891402715,0.2066290550070522,884,4254,8466,12720
POLICY_VALIDATION,BALANCED_STRICT_REGRET,0.0010630758327427356,0.0017572494360931024,0.2150916784203103,0.9273584905660377,0.7849083215796897,0.009502976999428654,0.904245283018868,0.9902597402597403,0.2150916784203103,924,4254,8466,12720
POLICY_VALIDATION,HIGH_COVERAGE,0.00933144342074179,0.011379564098911835,0.4076163610719323,0.8574685534591195,0.5923836389280677,0.014012203852511817,0.8088050314465409,0.9564258135686707,0.4076163610719323,1813,4254,8466,12720
POLICY_VALIDATION,HIGH_PRECISION,0.00023623907394283014,0.0005636110503496219,0.0930888575458392,0.9687106918238994,0.9069111424541608,0.010748034668239401,0.9515723270440252,0.9949748743718593,0.0930888575458392,398,4254,8466,12720
