status,simulations,bootstrap_draws,model_count,family_count,family_correlation,tied_truth,target_coverage,joint_coverage,joint_coverage_monte_carlo_se,mean_interval_width,method,claim_boundary
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,5,2,0.0,False,0.95,1.0,0.0,1.6159999999999997,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,5,2,0.6,False,0.95,1.0,0.0,1.5999999999999996,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,5,2,0.9,False,0.95,1.0,0.0,1.5999999999999996,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,5,2,0.0,True,0.95,0.98,0.019798989873223337,1.8399999999999996,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,5,2,0.6,True,0.95,0.98,0.019798989873223337,1.6719999999999997,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,5,2,0.9,True,0.95,0.98,0.019798989873223337,1.6479999999999995,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,10,3,0.0,False,0.95,1.0,0.0,4.352,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,10,3,0.6,False,0.95,1.0,0.0,3.596,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,10,3,0.9,False,0.95,1.0,0.0,3.4,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,10,3,0.0,True,0.95,0.98,0.019798989873223337,4.408,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,10,3,0.6,True,0.95,0.96,0.02771281292110205,3.988,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,10,3,0.9,True,0.95,0.92,0.038366652186501746,3.7079999999999997,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,20,6,0.0,False,0.95,1.0,0.0,9.771999999999998,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,20,6,0.6,False,0.95,1.0,0.0,8.835999999999999,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,20,6,0.9,False,0.95,1.0,0.0,8.668,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,20,6,0.0,True,0.95,1.0,0.0,9.632,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,20,6,0.6,True,0.95,1.0,0.0,8.862,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,20,6,0.9,True,0.95,0.98,0.019798989873223337,8.526,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,30,10,0.0,False,0.95,1.0,0.0,14.705333333333334,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,30,10,0.6,False,0.95,1.0,0.0,14.321333333333332,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,30,10,0.9,False,0.95,0.96,0.02771281292110205,13.704,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,30,10,0.0,True,0.95,1.0,0.0,14.734666666666667,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,30,10,0.6,True,0.95,0.98,0.019798989873223337,14.1,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,30,10,0.9,True,0.95,0.98,0.019798989873223337,14.074666666666666,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,40,10,0.0,False,0.95,0.98,0.019798989873223337,19.968,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,40,10,0.6,False,0.95,1.0,0.0,18.776000000000003,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
