model_id,model_family,evidence_status,notes
01-ai/yi-34b,yi,INFERRED,family inferred from public HELM model identifier
01-ai/yi-6b,yi,INFERRED,family inferred from public HELM model identifier
01-ai/yi-large-preview,yi,INFERRED,family inferred from public HELM model identifier
allenai/olmo-1.7-7b,olmo,INFERRED,family inferred from public HELM model identifier
allenai/olmo-7b,olmo,INFERRED,family inferred from public HELM model identifier
databricks/dbrx-instruct,dbrx,INFERRED,family inferred from public HELM model identifier
deepseek-ai/deepseek-llm-67b-chat,deepseek,INFERRED,family inferred from public HELM model identifier
deepseek-ai/deepseek-v3,deepseek,INFERRED,family inferred from public HELM model identifier
google/gemma-2-27b,gemma,INFERRED,family inferred from public HELM model identifier
google/gemma-2-9b,gemma,INFERRED,family inferred from public HELM model identifier
google/gemma-7b,gemma,INFERRED,family inferred from public HELM model identifier
meta/llama-2-13b,llama,INFERRED,family inferred from public HELM model identifier
meta/llama-2-70b,llama,INFERRED,family inferred from public HELM model identifier
meta/llama-2-7b,llama,INFERRED,family inferred from public HELM model identifier
meta/llama-3-70b,llama,INFERRED,family inferred from public HELM model identifier
meta/llama-3-8b,llama,INFERRED,family inferred from public HELM model identifier
meta/llama-3.1-405b-instruct-turbo,llama,INFERRED,family inferred from public HELM model identifier
meta/llama-3.1-70b-instruct-turbo,llama,INFERRED,family inferred from public HELM model identifier
meta/llama-3.1-8b-instruct-turbo,llama,INFERRED,family inferred from public HELM model identifier
meta/llama-3.2-11b-vision-instruct-turbo,llama,INFERRED,family inferred from public HELM model identifier
meta/llama-3.2-90b-vision-instruct-turbo,llama,INFERRED,family inferred from public HELM model identifier
meta/llama-3.3-70b-instruct-turbo,llama,INFERRED,family inferred from public HELM model identifier
microsoft/phi-2,phi,INFERRED,family inferred from public HELM model identifier
microsoft/phi-3-medium-4k-instruct,phi,INFERRED,family inferred from public HELM model identifier
microsoft/phi-3-small-8k-instruct,phi,INFERRED,family inferred from public HELM model identifier
mistralai/mistral-7b-instruct-v0.3,mistral,INFERRED,family inferred from public HELM model identifier
mistralai/mistral-7b-v0.1,mistral,INFERRED,family inferred from public HELM model identifier
mistralai/mixtral-8x22b,mistral,INFERRED,family inferred from public HELM model identifier
mistralai/mixtral-8x7b-32kseqlen,mistral,INFERRED,family inferred from public HELM model identifier
mistralai/open-mistral-nemo-2407,mistral,INFERRED,family inferred from public HELM model identifier
qwen/qwen1.5-110b-chat,qwen,INFERRED,family inferred from public HELM model identifier
qwen/qwen1.5-14b,qwen,INFERRED,family inferred from public HELM model identifier
qwen/qwen1.5-32b,qwen,INFERRED,family inferred from public HELM model identifier
qwen/qwen1.5-72b,qwen,INFERRED,family inferred from public HELM model identifier
qwen/qwen1.5-7b,qwen,INFERRED,family inferred from public HELM model identifier
qwen/qwen2-72b-instruct,qwen,INFERRED,family inferred from public HELM model identifier
qwen/qwen2.5-72b-instruct-turbo,qwen,INFERRED,family inferred from public HELM model identifier
qwen/qwen2.5-7b-instruct-turbo,qwen,INFERRED,family inferred from public HELM model identifier
snowflake/snowflake-arctic-instruct,arctic,INFERRED,family inferred from public HELM model identifier
