,abstract_algebra,anatomy,astronomy,business_ethics,clinical_knowledge,college_biology,college_chemistry,college_computer_science,college_mathematics,college_medicine,college_physics,computer_security,conceptual_physics,econometrics,electrical_engineering,elementary_mathematics,formal_logic,global_facts,high_school_biology,high_school_chemistry,high_school_computer_science,high_school_european_history,high_school_geography,high_school_government_and_politics,high_school_macroeconomics,high_school_mathematics,high_school_microeconomics,high_school_physics,high_school_psychology,high_school_statistics,high_school_us_history,high_school_world_history,human_aging,human_sexuality,international_law,jurisprudence,logical_fallacies,machine_learning,management,marketing,medical_genetics,miscellaneous,moral_disputes,moral_scenarios,nutrition,philosophy,prehistory,professional_accounting,professional_law,professional_medicine,professional_psychology,public_relations,security_studies,sociology,us_foreign_policy,virology,world_religions
abstract_algebra,1.0,0.722170399899644,0.7334317108316021,0.6952915256288885,0.7378050386505699,0.6579410484060751,0.7472229429237107,0.7425897556512705,0.7127133009211049,0.6418294356465443,0.745668924722503,0.5646518536833081,0.7852166306749907,0.7374366529092106,0.7378050386505699,0.7704429798497219,0.7409230449554598,0.7325544770121325,0.7705179233200912,0.758793174054571,0.7413582998445393,0.7318089075343523,0.6984812339953216,0.6564302428321527,0.7275608640869669,0.7138333006136279,0.7615424246852036,0.7567340606488909,0.7060765971736767,0.7500346732623103,0.6537128569230674,0.6827449611393335,0.6671389532860896,0.5974982517862759,0.6648205822746345,0.6550790294830623,0.6197449819468783,0.7131143019411759,0.6307286096346678,0.6444450660159885,0.6680561999001949,0.706425242547623,0.6726501439065256,0.6507343887113703,0.6772221210778694,0.6854712490071296,0.6909660085182089,0.7226635173349799,0.7593049773939985,0.7317993385649727,0.7088239769292163,0.5841469052715205,0.6193197709315048,0.6287301999705934,0.498281073155843,0.577376960679397,0.5672676837725381
anatomy,0.722170399899644,1.0,0.7986368809929415,0.6167727888969892,0.853242519596645,0.8180605173732675,0.7355713823390406,0.7830299106462493,0.635621805798842,0.7666027097236007,0.7326669864484708,0.6561320576973263,0.8114380433543527,0.7956270999653393,0.7972698103111051,0.6838924619140067,0.7716429877303117,0.7224209261108384,0.8202341236756077,0.8002728512326731,0.7380083661429359,0.7024255723736746,0.7887635883497921,0.7551448823926316,0.7937388914019926,0.620831791559706,0.7934562170654441,0.7764883037462418,0.8174394507344978,0.8024530608043653,0.7433194969112566,0.7262800326806642,0.7628177350183151,0.6920424223943087,0.7349074433405105,0.7379759637569189,0.7091075064943306,0.7181969425099757,0.7437028472452396,0.7410812803340896,0.8003126837808663,0.7508570868078407,0.7926330150068213,0.6752773488463857,0.8035396520699362,0.8079026571425951,0.8242514461572852,0.7795223659034949,0.7964839155368747,0.8294679399727148,0.8324258406646301,0.6538329099453823,0.7209329308623945,0.7460725320850021,0.6250403062781478,0.6772466527413673,0.7180437119002175
astronomy,0.7334317108316021,0.7986368809929415,1.0,0.6910371121557264,0.8320816510558305,0.8282974847333838,0.7648803090880689,0.8151204674296627,0.7111416781292984,0.7835053396878714,0.7646698388891219,0.646244868516933,0.866728635502499,0.7700771300034801,0.8142611214615543,0.767257123419138,0.8487434859318529,0.7295252932147834,0.7920401141034011,0.7885100772528182,0.80578588835981,0.7895147073006817,0.8347115356342648,0.8042516839062172,0.8257162395008035,0.6561983360271286,0.8323161926557525,0.8057669791658517,0.8262777602998057,0.7537732548430346,0.7767886332673422,0.8019238317424396,0.7755678760284603,0.7684038610055131,0.8013823596057426,0.7645612701146864,0.7587630658029912,0.762363356595403,0.7397863497924716,0.7994589849057936,0.76349716205536,0.8043942293496463,0.8109657522261087,0.7244444613955289,0.8464402429179102,0.8358538270582471,0.8495339224274492,0.8403065108685736,0.8106635688680115,0.8082260030631826,0.8509019319643695,0.6482149898798428,0.7568688459172379,0.7367052340418031,0.6373988970870227,0.6745068559332081,0.7044259369569059
business_ethics,0.6952915256288885,0.6167727888969892,0.6910371121557264,1.0,0.6680540175229464,0.6597852473766357,0.6255225175533321,0.6519680334646991,0.6344851728375932,0.6754002883672359,0.6532873536685222,0.5666756532679361,0.7292955716234568,0.6524507924782282,0.6763015979861926,0.6598568183908343,0.6891068048437711,0.5576271440739633,0.6318036155010692,0.6973431411566449,0.6519343235236205,0.6491351035392731,0.680939876053273,0.6317607743479488,0.7114744392341618,0.7347789969740091,0.7000885865942694,0.681356840246251,0.65845851647506,0.6762917679629261,0.6056839146425624,0.6639302272913232,0.6675920555948117,0.6244881063436262,0.5822959889349931,0.6277832273086118,0.6395627220457092,0.6666723585183542,0.5934639699095202,0.6837751688554162,0.6130398065600283,0.675370272274937,0.6483669406667681,0.5294434711709801,0.6187868919349733,0.6433688421391731,0.6666892479309983,0.6460604696209564,0.6653508385727707,0.6222674239873854,0.7037275394827204,0.5736160904390636,0.5468366246524518,0.598753892735897,0.5200180655587665,0.5377696999572408,0.5734077522118722
clinical_knowledge,0.7378050386505699,0.853242519596645,0.8320816510558305,0.6680540175229464,1.0,0.8199880394477577,0.7264247447981559,0.8274003655542059,0.6826633644576666,0.7780851119781276,0.8005691404494272,0.6621561340256503,0.851501798600402,0.8071142983064594,0.796448087431694,0.7442238863833353,0.7953622681300364,0.7105684310609788,0.8235301823398112,0.8076405878781845,0.770084385265421,0.7593026899107969,0.8112653684346949,0.7556605156943623,0.8555890072336839,0.6662150072249545,0.8308329696246863,0.8030103272981215,0.8302675847551089,0.8125443029787274,0.7768860357660614,0.7704918032786886,0.759234636542517,0.7201602757228306,0.7793963537767709,0.745381554719959,0.7383589354862865,0.7994541152545751,0.7483838115471926,0.8063728191782186,0.7967239136495903,0.7907725481212702,0.8368602632203893,0.6934136975553046,0.8353811082986614,0.8343575728573508,0.8425375490618346,0.8237704918032788,0.8309727411626604,0.8300343230636162,0.8398108903270067,0.6239119680248546,0.766599836545483,0.7796409507865084,0.6825810229971145,0.69010621262198,0.7088984979571709
college_biology,0.6579410484060751,0.8180605173732675,0.8282974847333838,0.6597852473766357,0.8199880394477577,1.0,0.7389678985853477,0.7714483628954423,0.6579676537102668,0.8236103518456679,0.7153770359372673,0.6565328048337328,0.8409652314020059,0.7950652998418724,0.7789201910613924,0.7171232433996207,0.8188701274903922,0.7285238853395535,0.7786156729485922,0.8188701274903922,0.7647896890847469,0.7029716538111876,0.8679537658497758,0.8198509453586411,0.8559824676770417,0.6034198575968939,0.8229713134377564,0.8115149267351525,0.8743242827417096,0.7909902495428904,0.7950463919999251,0.7967162586954841,0.7950652998418724,0.7521129119623589,0.7768661367858508,0.7870257183107244,0.7714483628954423,0.7777777777777778,0.7234378766812877,0.8011240769710312,0.7942178349281775,0.782867421673962,0.8481563892498759,0.668952850655288,0.8466416999071569,0.8265096735292725,0.8770565461252776,0.774813406222756,0.8313202166008595,0.8358444416639906,0.8633952292074384,0.6321102869384906,0.7421124828532236,0.7743420588749271,0.6448992647913278,0.6625386599999377,0.7958741822438268
college_chemistry,0.7472229429237107,0.7355713823390406,0.7648803090880689,0.6255225175533321,0.7264247447981559,0.7389678985853477,1.0,0.7602082084517806,0.7192364570086724,0.6800407973786837,0.7022915982932744,0.5851284609411189,0.7615640107015559,0.7564055090432134,0.6960996131367527,0.678163361450208,0.7681070014101402,0.7294203234648867,0.7674479252336252,0.7378232128240774,0.7091473960011356,0.6939640299340656,0.7216128775714682,0.7190122523852932,0.7299467322789281,0.6337202327318001,0.7447058920481825,0.7909130596382504,0.7854670901839533,0.7469503151836895,0.7463518132939936,0.7250463297226375,0.7274191665433821,0.6318016211311663,0.6948709119605752,0.733983998789925,0.6841873876066025,0.7279179113167819,0.6793265148833039,0.6342141863699582,0.7023643949930458,0.7211165103774314,0.7149092648576069,0.6516388149834321,0.7413121764840329,0.7386967205407757,0.7441991169693849,0.752614631233004,0.7877606722206101,0.7810280407981948,0.7868426892911056,0.6462401810977709,0.6574742424796739,0.7407923956903139,0.6423406772947062,0.5879084115891234,0.6375006148735748
college_computer_science,0.7425897556512705,0.7830299106462493,0.8151204674296627,0.6519680334646991,0.8274003655542059,0.7714483628954423,0.7602082084517806,1.0,0.6955328103194086,0.7046703296703297,0.8248346478417199,0.6430051917469807,0.7787001508848289,0.7942394303787288,0.7945235298368204,0.7189798922985584,0.7811283291488003,0.7248975220828611,0.7668045623172873,0.7783923279959146,0.8162439972081883,0.722764808476691,0.7487971913680513,0.6866961314541676,0.7800662915004164,0.6557474954819612,0.761976321078602,0.798354660587945,0.7628248630568422,0.7792296988215055,0.7458677371482703,0.7643864304292168,0.721537030015909,0.7235220854262796,0.7953182987508064,0.6754520972899881,0.6813186813186813,0.7577215236980145,0.6723245936630275,0.7380930605695469,0.7339464703416281,0.77523026078189,0.7830299106462492,0.6994061652040333,0.7790085740084949,0.7696602112921187,0.766926071998008,0.808222211385731,0.7896837475668798,0.8104085788506636,0.7600907237627317,0.6159348018320588,0.7247771096241878,0.7582988661007415,0.6132146206297155,0.6906182751372874,0.6984208482519385
college_mathematics,0.7127133009211049,0.635621805798842,0.7111416781292984,0.6344851728375932,0.6826633644576666,0.6579676537102668,0.7192364570086724,0.6955328103194086,1.0,0.6460482625496484,0.6901352336544421,0.5133590189301178,0.7354889682970733,0.6369265388977091,0.700483894051943,0.7153785278854596,0.6694122010010903,0.6827255574236464,0.6588895229976302,0.6598296132566985,0.719008946536446,0.727402536271782,0.6969703581368614,0.7052883051239963,0.6835399333615924,0.6835399333615924,0.6680432598947488,0.6959520586662468,0.7113649591985082,0.6634846254063008,0.6537740632303431,0.6333142055812089,0.6726163880600807,0.5991885703147684,0.6606921691069719,0.6412896160563402,0.637800837921355,0.7101655051528348,0.5611209672010822,0.6805083400928209,0.6846577811909478,0.676236504673601,0.6506904261949351,0.5880142426769736,0.6580390275587624,0.6716926826278221,0.6621166158693808,0.6936298442079907,0.6907671082623225,0.7000059111276039,0.625180358372535,0.5775761768801164,0.6195060789631113,0.6468631323293882,0.620625241900522,0.5611675891575462,0.5980714327496868
college_medicine,0.6418294356465443,0.7666027097236007,0.7835053396878714,0.6754002883672359,0.7780851119781276,0.8236103518456679,0.6800407973786837,0.7046703296703297,0.6460482625496484,1.0,0.7337993857053428,0.6653705897207887,0.8265150724303887,0.7421131810619901,0.749317880725415,0.7408085038294443,0.7482963153141746,0.6478685633795589,0.7873807133633685,0.792072333760342,0.7116326248847105,0.675867855254921,0.8492791674156024,0.7633052333405351,0.80465682258099,0.6735073234845977,0.756504318772831,0.7668045623172873,0.7929003952920582,0.7491541665862895,0.721005479243328,0.6726052640515151,0.7037043657759722,0.7290663159659445,0.6809137601090093,0.6892933287918322,0.7321428571428571,0.7412493166611012,0.6709297293608222,0.7436218475401054,0.6938627648050797,0.7479813939705757,0.7446997751600692,0.5998805315590149,0.7626371153603304,0.8202417882331637,0.806571091762611,0.6945231545297723,0.7542841312966403,0.7282725742374206,0.8052040221155558,0.6366966490848249,0.6726151206739622,0.6795683827350908,0.6467388823497912,0.6657560172323449,0.6901391781145637
