model_id,median_rank,simultaneous_rank_lower,simultaneous_rank_upper
01-ai/yi-34b,14.0,12.0,16.0
01-ai/yi-6b,29.0,28.0,30.0
01-ai/yi-large-preview,8.0,5.0,10.0
allenai/olmo-1.7-7b,37.0,35.0,37.0
allenai/olmo-7b,39.0,39.0,39.0
databricks/dbrx-instruct,18.0,17.0,19.0
deepseek-ai/deepseek-llm-67b-chat,20.0,19.0,22.0
deepseek-ai/deepseek-v3,1.0,1.0,1.0
google/gemma-2-27b,15.0,13.0,17.0
google/gemma-2-9b,21.0,19.0,22.0
google/gemma-7b,27.0,26.0,28.0
meta/llama-2-13b,36.0,33.0,37.0
meta/llama-2-70b,23.0,23.0,24.0
meta/llama-2-7b,38.0,38.0,38.0
meta/llama-3-70b,8.0,5.0,9.0
meta/llama-3-8b,26.0,25.0,28.0
meta/llama-3.1-405b-instruct-turbo,2.0,2.0,2.0
meta/llama-3.1-70b-instruct-turbo,6.0,5.0,8.0
meta/llama-3.1-8b-instruct-turbo,35.0,33.0,37.0
meta/llama-3.2-11b-vision-instruct-turbo,34.0,32.0,36.0
meta/llama-3.2-90b-vision-instruct-turbo,5.0,5.0,7.0
meta/llama-3.3-70b-instruct-turbo,8.0,7.0,9.0
microsoft/phi-2,32.0,31.0,34.0
microsoft/phi-3-medium-4k-instruct,11.0,10.0,13.0
microsoft/phi-3-small-8k-instruct,15.0,14.0,17.0
mistralai/mistral-7b-instruct-v0.3,31.0,31.0,32.0
mistralai/mistral-7b-v0.1,34.0,33.0,36.0
mistralai/mixtral-8x22b,10.0,9.0,12.0
mistralai/mixtral-8x7b-32kseqlen,22.0,20.0,22.0
mistralai/open-mistral-nemo-2407,28.0,26.0,29.0
qwen/qwen1.5-110b-chat,13.0,10.0,16.0
qwen/qwen1.5-14b,24.0,23.0,25.0
qwen/qwen1.5-32b,17.0,16.0,18.0
qwen/qwen1.5-72b,12.0,10.0,13.0
qwen/qwen1.5-7b,30.0,29.0,30.0
qwen/qwen2-72b-instruct,4.0,4.0,4.0
qwen/qwen2.5-72b-instruct-turbo,3.0,3.0,3.0
qwen/qwen2.5-7b-instruct-turbo,19.0,18.0,22.0
snowflake/snowflake-arctic-instruct,25.0,24.0,26.0
