replicate,model_id,model_family,family_balanced_rank,aggregate_subject_accuracy
0,snowflake/snowflake-arctic-instruct,arctic,5.0,0.676569761285256
0,databricks/dbrx-instruct,dbrx,2.0,0.7410120567563482
0,deepseek-ai/deepseek-llm-67b-chat,deepseek,3.0,0.725042055452075
0,google/gemma-2-9b,gemma,4.0,0.7213434388300994
0,meta/llama-2-13b,llama,9.0,0.5541548609350062
0,mistralai/open-mistral-nemo-2407,mistral,6.0,0.6532946316803779
0,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
0,microsoft/phi-3-small-8k-instruct,phi,1.0,0.7567775597029733
0,qwen/qwen1.5-7b,qwen,8.0,0.6257777441280399
0,01-ai/yi-6b,yi,7.0,0.6400594608704304
1,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
1,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
1,deepseek-ai/deepseek-llm-67b-chat,deepseek,6.0,0.725042055452075
1,google/gemma-2-27b,gemma,4.0,0.7570433943977638
1,meta/llama-3.2-11b-vision-instruct-turbo,llama,9.0,0.5650818312394074
1,mistralai/mixtral-8x22b,mistral,1.0,0.7781994679340385
1,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
1,microsoft/phi-2,phi,8.0,0.5842493973299887
1,qwen/qwen1.5-110b-chat,qwen,2.0,0.767842526875325
1,01-ai/yi-34b,yi,3.0,0.7623282062667585
2,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
2,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
2,deepseek-ai/deepseek-llm-67b-chat,deepseek,6.0,0.725042055452075
2,google/gemma-7b,gemma,8.0,0.6611956672419421
2,meta/llama-3.2-90b-vision-instruct-turbo,llama,1.0,0.8026595003973722
2,mistralai/mistral-7b-v0.1,mistral,9.0,0.5657513230766065
2,allenai/olmo-7b,olmo,10.0,0.2946516964096742
2,microsoft/phi-3-small-8k-instruct,phi,4.0,0.7567775597029733
2,qwen/qwen1.5-110b-chat,qwen,3.0,0.767842526875325
2,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
3,snowflake/snowflake-arctic-instruct,arctic,6.0,0.676569761285256
3,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
3,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
3,google/gemma-2-27b,gemma,4.0,0.7570433943977638
3,meta/llama-3.2-11b-vision-instruct-turbo,llama,9.0,0.5650818312394074
3,mistralai/mistral-7b-v0.1,mistral,8.0,0.5657513230766065
3,allenai/olmo-7b,olmo,10.0,0.2946516964096742
3,microsoft/phi-3-medium-4k-instruct,phi,3.0,0.774517567943956
3,qwen/qwen1.5-7b,qwen,7.0,0.6257777441280399
3,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
4,snowflake/snowflake-arctic-instruct,arctic,6.0,0.676569761285256
4,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
4,deepseek-ai/deepseek-llm-67b-chat,deepseek,5.0,0.725042055452075
4,google/gemma-2-27b,gemma,2.0,0.7570433943977638
4,meta/llama-3-8b,llama,7.0,0.6676368046780581
4,mistralai/mistral-7b-v0.1,mistral,9.0,0.5657513230766065
4,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
