evidence,state,artifact
active_mmlu_panel,SUPPORTED,results/mmlu/panel_validity/panel_validity.json
three_model_mmlu_files,HISTORICAL_PROVENANCE_ONLY,LIMITED_REAL_MMLU_PANEL_VALIDITY_REPORT.md
proxy_irt,SUPPORTED_PROXY,results/mmlu/irt_proxy/fit_summary.json
full_2pl,RESULT_REQUIRED,results/mmlu/irt_2pl/fit_summary.json
mmlu_redux_direct_hash,BLOCKED_NOT_CONFIRMED,results/mmlu/redux_direct_alignment/schema_report.json
mmlu_redux_structural,WEAK_NEGATIVE,results/mmlu/redux_validation/metrics.json
real_panel_ranking_disagreement,ARTIFACT_BACKED,results/mmlu/ranking_disagreement/ranking_disagreement_summary.json
decoupled_synthetic_validation,RESULT_REQUIRED,DECOUPLED_SYNTHETIC_EXECUTION_REPORT.md
second_benchmark,RESULT_REQUIRED,SECOND_BENCHMARK_RUN_REPORT.md
neurips_readiness,BLOCKED,FINAL_SUBMISSION_GATE_AND_VENUE_STRATEGY.md
