item_id,subject,difficulty_matching,conditional_residualization,difficulty_stratified_null,cross_fitted_difficulty,subject_conditioned_difficulty,family_balanced_difficulty,v8_full,raw_difficulty,family_balanced_difficulty_estimate,family_disagreement,exploratory_stratified_p_value,exploratory_BH_q_value,claim_status
abstract_algebra::mmlu_abstract_algebra_id100,abstract_algebra,0.0,0.0,0.29480796586059743,0.0,0.36148775319770043,0.0,0.0,0.7435897435897436,0.7800757575757575,0.2672286712985784,1.0,1.0,EXPLORATORY_ONLY_NO_EXTERNAL_LABEL_VALIDATION
abstract_algebra::mmlu_abstract_algebra_id101,abstract_algebra,0.0,0.0,0.1120199146514936,0.0,0.0,0.0,0.0,0.6666666666666667,0.7303787878787878,0.24591157647318304,1.0,1.0,EXPLORATORY_ONLY_NO_EXTERNAL_LABEL_VALIDATION
abstract_algebra::mmlu_abstract_algebra_id102,abstract_algebra,0.13712677303088605,0.28863792705770946,0.62660485021398,0.2886379270577132,0.0,0.28863792705770946,0.28863792705770946,0.4358974358974359,0.34212121212121205,0.37021436720628553,0.8,1.0,EXPLORATORY_ONLY_NO_EXTERNAL_LABEL_VALIDATION
abstract_algebra::mmlu_abstract_algebra_id103,abstract_algebra,0.0,1.0,0.7156028368794326,1.0,0.0,1.0,1.0,0.10256410256410253,0.10151515151515156,0.17062113071930418,1.0,1.0,EXPLORATORY_ONLY_NO_EXTERNAL_LABEL_VALIDATION
abstract_algebra::mmlu_abstract_algebra_id104,abstract_algebra,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.5897435897435898,0.6901515151515152,0.3328241634606589,1.0,1.0,EXPLORATORY_ONLY_NO_EXTERNAL_LABEL_VALIDATION
abstract_algebra::mmlu_abstract_algebra_id105,abstract_algebra,0.0,0.0,0.2194167852062589,0.0,0.21119849974727115,0.0,0.0,0.717948717948718,0.7526515151515152,0.23110437985756138,1.0,1.0,EXPLORATORY_ONLY_NO_EXTERNAL_LABEL_VALIDATION
abstract_algebra::mmlu_abstract_algebra_id106,abstract_algebra,0.0,0.0,0.2101139601139601,0.0,1.0,0.0,0.0,0.9230769230769231,0.9075757575757576,0.16850910006408473,1.0,1.0,EXPLORATORY_ONLY_NO_EXTERNAL_LABEL_VALIDATION
abstract_algebra::mmlu_abstract_algebra_id107,abstract_algebra,1.0,1.0,0.9800995024875622,1.0,0.0,1.0,1.0,0.17948717948717952,0.22484848484848485,0.3364422512553263,0.5,1.0,EXPLORATORY_ONLY_NO_EXTERNAL_LABEL_VALIDATION
abstract_algebra::mmlu_abstract_algebra_id108,abstract_algebra,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.5897435897435898,0.6478030303030303,0.26670550035765755,1.0,1.0,EXPLORATORY_ONLY_NO_EXTERNAL_LABEL_VALIDATION
abstract_algebra::mmlu_abstract_algebra_id109,abstract_algebra,0.0,0.0,0.1631054131054131,0.0,1.0,0.0,0.0,0.8974358974358975,0.8984848484848484,0.1706211307193042,1.0,1.0,EXPLORATORY_ONLY_NO_EXTERNAL_LABEL_VALIDATION
