flaw_class,severity,prevalence,seed,AUPRC,AUROC,precision_at_k,FDR,recall_at_fixed_FDR,power,discoveries,threshold
NO_FLAW,0.25,0.05,2027,,,0.0,1.0,,,21,0.7188124999999992
NO_FLAW,0.25,0.05,2028,,,0.0,1.0,,,20,0.7188124999999992
NO_FLAW,0.25,0.05,2029,,,0.0,1.0,,,26,0.7188124999999992
NO_FLAW,0.25,0.15,2027,,,0.0,1.0,,,19,0.7188124999999992
NO_FLAW,0.25,0.15,2028,,,0.0,1.0,,,17,0.7188124999999992
NO_FLAW,0.25,0.15,2029,,,0.0,1.0,,,17,0.7188124999999992
NO_FLAW,0.5,0.05,2027,,,0.0,1.0,,,21,0.7188124999999992
NO_FLAW,0.5,0.05,2028,,,0.0,1.0,,,16,0.7188124999999992
NO_FLAW,0.5,0.05,2029,,,0.0,1.0,,,21,0.7188124999999992
NO_FLAW,0.5,0.15,2027,,,0.0,1.0,,,23,0.7188124999999992
NO_FLAW,0.5,0.15,2028,,,0.0,1.0,,,16,0.7188124999999992
NO_FLAW,0.5,0.15,2029,,,0.0,1.0,,,25,0.7188124999999992
NO_FLAW,0.8,0.05,2027,,,0.0,1.0,,,12,0.7188124999999992
NO_FLAW,0.8,0.05,2028,,,0.0,1.0,,,19,0.7188124999999992
NO_FLAW,0.8,0.05,2029,,,0.0,1.0,,,16,0.7188124999999992
NO_FLAW,0.8,0.15,2027,,,0.0,1.0,,,24,0.7188124999999992
NO_FLAW,0.8,0.15,2028,,,0.0,1.0,,,25,0.7188124999999992
NO_FLAW,0.8,0.15,2029,,,0.0,1.0,,,22,0.7188124999999992
LABEL_ERROR,0.25,0.05,2027,0.04035856670769506,0.40131578947368424,0.0,1.0,0.0,0.0,12,0.7188124999999992
LABEL_ERROR,0.25,0.05,2028,0.03710198955539392,0.34217105263157893,0.0,1.0,0.0,0.0,20,0.7188124999999992
LABEL_ERROR,0.25,0.05,2029,0.03526253959129183,0.3156578947368421,0.0,1.0,0.0,0.0,13,0.7188124999999992
LABEL_ERROR,0.25,0.15,2027,0.10378711337844845,0.31512254901960784,0.0,1.0,0.0,0.0,31,0.7188124999999992
LABEL_ERROR,0.25,0.15,2028,0.1149543344224678,0.38441176470588234,0.0,1.0,0.0,0.0,21,0.7188124999999992
LABEL_ERROR,0.25,0.15,2029,0.1220474787840661,0.42100490196078433,0.03333333333333333,1.0,0.0,0.0,16,0.7188124999999992
LABEL_ERROR,0.5,0.05,2027,0.04019793125114571,0.3773026315789474,0.05,1.0,0.0,0.0,17,0.7188124999999992
